ticker,shortName,sector,industry,rank,score_FINAL_adj,rating,data_completeness,score_valuation,score_profitability,score_growth,score_financial,score_momentum,score_fundamental_momentum,score_income,revenue_trend,ebitda_trend,margin_trend,debt_trend,fcf_trend,earnings_consistency,revenue_r2,ebitda_r2,revenue_cagr,ebitda_cagr,revenue_qoq,ebitda_qoq,revenue_accel,margin_accel,lastPrice,priceVs50dMA,priceVs200dMA,priceVs52wHigh,priceVs52wLow,position52w,beta,marketCap,dividendYield,liquidity_flag,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,returnOnEquity,profitMargins,operatingMargins,revenueGrowth,earningsGrowth,debtToEquity,currentRatio,freeCashflow
ABT,Abbott Laboratories,Healthcare,Medical Devices,392,4.223465698729583,Débil,89.7,3.8157894736842106,4.333333333333333,4.2105263157894735,5.43859649122807,1.8596491228070176,4.714035087719299,8.421052631578947,0.019451694792271483,0.025099829187149703,0.009330299824089037,0.0045345467666636635,0.02253610897088035,,0.9952439880283319,0.9466072456018746,0.08098825420660127,0.10571293560709794,0.03214870837694344,0.01047341689373297,,,102.75,-0.028021363664742505,-0.025725585536552575,-0.25267292166703037,0.25350738074905466,0.37427953890489907,0.586,177796890624.0,2.46,False,33.25243,16.94021,3.4786878,17.541,0.10576,0.116450004,0.14706999,0.13,-0.475,63.212,1.376,7209124864.0
MMM,3M Company,Industrials,Conglomerates,148,5.1425047110247695,Neutral,89.7,4.313380281690141,7.056338028169014,4.82394366197183,2.535211267605634,6.985915492957747,4.701408450704226,8.309859154929578,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.0062340255754475705,0.029326933333333333,,,164.85000610351562,-0.04197522151371036,0.025543759664532484,-0.1084369599593531,0.1830774085224316,0.5599211172852419,1.074,85016846336.0,1.92,False,29.28064,16.847647,28.799791,14.148,0.81891996,0.11902001,0.20354,0.025,0.328,437.937,1.24,6350125056.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,77,5.51337979431337,Neutral,89.7,4.6491228070175445,7.052631578947368,8.596491228070175,0.9649122807017546,7.157894736842105,4.714035087719299,8.947368421052632,0.019451694792271483,0.025099829187149703,0.009330299824089037,0.0045345467666636635,0.02253610897088035,,0.9952439880283319,0.9466072456018746,0.08098825420660127,0.10571293560709794,0.02494465878186073,0.029450054337207248,,,263.1400146484375,0.032552495400866466,0.14794110770350488,-0.016188676679861347,0.3795020427178899,0.9435611919765051,0.281,464999284736.0,2.64,False,74.333336,16.175772,-78.3388,17.172,0.163515,0.098000005,0.40035,0.102,2.904,145.2395,0.809,16870250496.0
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,131,5.207390683605566,Neutral,89.7,2.8070175438596494,7.5438596491228065,4.473684210526316,7.192982456140351,7.649122807017543,4.714035087719299,1.9298245614035086,0.021251579487733478,0.031521917252109226,0.017210052018462898,0.05514093467311225,0.1134238922346897,,0.9974283955506222,0.9842996212955807,0.08879560404040521,0.13410072189621047,0.019358442477876107,0.03859481962893046,,,155.97000122070312,0.07991675578180324,0.18605714230193726,-0.04751144292700382,0.4395016264024285,0.8595668090379626,1.241,43973980160.0,0.66,False,30.760355,23.079313,5.9723125,21.981,0.20971,0.19533001,0.25559,0.081,0.085,56.336,2.05,1060374976.0
AES,The AES Corporation,Utilities,Utilities - Diversified,42,5.790404280618312,Neutral,89.7,7.241379310344827,4.241379310344827,7.5,2.586206896551724,8.517241379310345,4.775862068965519,9.827586206896552,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.045407228405056246,0.0838881647486438,,,14.875,0.007340890929530053,0.016861095065403786,-0.15722379603399428,0.1880990415335464,0.4590643274853803,0.95,10609688576.0,4.75,False,5.5697374,6.273444,2.1459162,12.172,0.095740005,0.1434,0.18673,0.199,0.086,256.886,0.746,-3089125120.0
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,288,4.616688381962865,Débil,89.7,5.615384615384615,5.4,3.9615384615384617,3.3076923076923075,4.507692307692308,4.706153846153847,6.153846153846154,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,-0.0023741060070671376,0.031292517006802724,,,116.48500061035156,-0.03688740954380154,0.01512071566381823,-0.10547534472161291,0.10485630854928907,0.44594597056682367,0.58,58398973952.0,2.09,False,12.565804,15.44599,1.9300934,10.85,0.16908,0.26908,0.25722998,-0.01,0.468,53.365,0.892,5152249856.0
ACN,Accenture plc,Technology,Information Technology Services,167,5.091473354231975,Neutral,89.7,8.279220779220779,3.4155844155844157,2.012987012987013,6.428571428571429,4.675324675324676,4.779220779220781,9.48051948051948,0.05683803857620076,0.10773810007810213,0.042403435118153955,6.216447174862654e-05,0.0447595655855442,,0.9972040768683221,0.9686443918748547,0.2547803986419861,0.4571519792485952,0.0137326427742933,0.018102283146290747,,,190.1750030517578,0.12473683525205104,-0.0529220569842469,-0.34667971056457514,0.609606458330578,0.4164739392376421,1.092,116400562176.0,3.44,False,15.19289,12.960904,3.6494887,8.953,0.24406,0.10656,0.16964,0.056,0.09,25.035,1.339,12089380864.0
ADBE,Adobe Inc.,Technology,Software - Application,348,4.420194178235558,Débil,89.7,7.792207792207792,7.727272727272728,3.701298701298701,3.051948051948052,3.389610389610389,1.7811688311688316,6.103896103896104,0.03009086207582017,0.012431490837564759,-0.05502741957658838,0.006732673875732602,-0.010449451599962793,,0.9998944277597236,0.9012827904124989,0.12792345753675916,0.05086188476971332,0.03063734185564014,0.019650910923341498,,,251.19000244140625,-0.014550078535456978,-0.0545930186841751,-0.3226824072657978,0.32121819083424286,0.33788869337947464,1.417,99848028160.0,1.355,False,14.0251255,9.077518,8.434289,10.258,0.61902,0.28048,0.34822,0.129,0.105,57.48,0.77,9129875456.0
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,153,5.124763088878096,Neutral,89.7,7.816901408450704,5.887323943661972,0.8098591549295775,7.746478873239436,2.8591549295774645,4.701408450704226,9.014084507042254,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,-0.0018363042514979954,-0.014585691521114207,,,57.130001068115234,-0.05840429662793645,-0.1204605524622987,-0.30218638001569276,0.0548375381852888,0.10718156146211609,1.153,7764456960.0,2.53,False,15.91365,13.980829,4.215614,10.499,0.27133,0.13149,0.18929,-0.007,-0.15,36.766,1.594,484612512.0
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,57,5.68030237348858,Neutral,89.7,0.9415584415584414,2.74025974025974,8.766233766233766,8.506493506493506,8.61038961038961,6.526623376623377,7.142857142857143,0.1341329854419091,0.1696336061523652,0.08725123366411797,0.023795283850190238,0.0026784903366001587,,0.9937798417789561,0.9989295024888831,0.7028717186469573,0.956450650010132,0.10281950773853535,0.28694484781575497,,,546.5700073242188,0.10411179437146556,0.5559117281195913,-0.06526087711555972,2.6474474963244496,0.9122516724710695,2.476,892392505344.0,1.5350000000000001,False,140.16667,35.107628,13.271103,86.573,0.10196,0.15577,0.1725,0.501,1.595,6.361,2.609,8841499648.0
